,search_count,brewery_name,brewery_id,beer_count,brewery_city,brewery_state
0,1,3 Nations Brewing,205645,42,Farmers Branch,TX
1,1,903 Brewers,45007,102,Sherman,TX
2,1,Armadillo Ale Works™,9316,28,Denton,TX
3,1,Bankhead Brewing Co.,293554,44,Rowlett,TX
4,1,Barley & Board,221680,31,Denton,TX
5,1,Bishop Cider Company,144590,207,Dallas,TX
6,1,Bitter Sisters Brewing Company,72194,41,Addison,TX
7,1,Bluffview Growler,419505,12,Dallas,TX
8,2,BrainDead Brewing,185850,227,Dallas,TX
9,1,Brutal Beerworks,178427,59,North Richland Hills,TX
10,3,By The Horns Brewing,420484,14,Mansfield,TX
11,6,Cedar Creek Brewery,10537,45,Seven Points,TX
12,6,Celestial Beerworks,360425,78,Dallas,TX
13,2,Cellarman’s Pub & Brewery,381643,21,Sherman,TX
14,25,The Collective Brewing Project,75899,161,Fort Worth,TX
15,25,Community Beer Company,48372,213,Dallas,TX
16,1,Cowtown Brewing Co.,305104,23,Fort Worth,TX
17,2,Deep Ellum Brewing Company,11028,65,Dallas,TX
18,2,Denton County Brewing Company,178455,103,Denton,TX
19,1,Dirty Job Brewing,226688,51,Mansfield,TX
20,25,Division Brewing,198462,159,Arlington,TX
21,1,Edgewise Eight Brewing,358992,24,Weatherford,TX
22,2,Flix Brewhouse,15976,369,Round Rock,TX
23,2,Fort Brewery and Pizza,58169,118,Fort Worth,TX
24,1,Four Bullets Brewery,48543,22,Richardson,TX
25,1,Four Corners Brewing Company,29815,135,Dallas,TX
26,2,Franconia Brewing Company ,7329,79,McKinney,TX
27,1,Funky Picnic Brewery & Cafe,386590,30,Fort Worth,TX
28,2,Hemisphere Brewing ,330978,39,Rockwall,TX
29,1,Hop And Sting Brewing Company,330503,42,Grapevine,TX
30,1,HopFusion Ale Works,197427,91,Fort Worth,TX
31,2,Intrinsic Brewing,154369,232,Garland,TX
32,3,Ivanhoe Ale Works,204652,19,Denison,TX
33,14,Lakewood Brewing Company,11862,86,Garland,TX
34,3,Legal Draft Beer Co.,235234,55,Arlington,TX
35,2,Manhattan Project Beer Co,175906,17,Dallas,TX
36,4,Martin House Brewing Company,27621,447,Fort Worth,TX
37,1,New Main Brewing Company,287138,80,Pantego,TX
38,3,Nine Band Brewing,182168,40,Allen,TX
39,1,Oak Cliff Brewing Co,269352,30,Dallas,TX
40,1,Oak Highlands Brewery,65272,110,Dallas,TX
41,20,Old Town BrewHouse,71438,40,Lewisville,TX
42,1,On Rotation,130896,189,Dallas,TX
43,1,Outfit Brewing,403580,23,Dallas,TX
44,1,Panther Island Brewing,25578,105,Fort Worth,TX
45,1,Parker County Brewing Company,385579,46,Willow Park,TX
46,1,Peticolas Brewing Company,13688,37,Dallas,TX
47,4,Rabbit Hole Brewing,45012,66,Justin,TX
48,3,Rahr & Sons Brewing Company,1038,34,Fort Worth,TX
49,2,Revolver Brewing,30341,61,Granbury,TX
50,23,Shannon Brewing Company ,88806,84,Keller,TX
51,1,Small Brewpub,97132,97,Dallas,TX
52,1,Steam Theory Brewing Company,130762,25,Dallas,TX
53,1,Texas Ale Project,134551,103,Dallas,TX
54,2,Thirsty Bro Brewing,320254,24,Royse City,TX
55,1,TKO Libations,367118,100,Lewisville,TX
56,1,Trinity Cider,409959,46,Dallas,TX
57,2,TUPPS Brewery,196598,66,McKinney,TX
58,3,Turning Point Beer,313044,91,Bedford,TX
59,4,Twin Peaks Brewing Co. ,78569,16,Irving,TX
60,4,Uncle Buck's Brewery & Steakhouse,5027,22,Grapevine,TX
61,2,Union Bear Brewing Company,371789,30,Plano,TX
62,1,Unlawful Assembly Brewing Company,343879,16,Plano,TX
63,1,Walking Beam Brewing Co,421840,30,Bridgeport,TX
64,1,White Rock Alehouse & Brewery,379699,33,Dallas,TX
65,1,Wild Acre Brewing Company,254782,61,Fort Worth,TX
66,3,Woodcreek Brewing Company,217818,17,Rockwall,TX
67,2,Manhattan Project Beer Co,175906,17,Dallas,TX
68,4,Westlake Brewing Company,305108,29,Dallas,TX
